iter	Passed	Remaining
153	284	1561
154	284	1553
155	285	1546
156	286	1540
157	287	1534
158	288	1527
159	289	1521
160	290	1515
161	291	1509
162	292	1503
163	293	1497
164	294	1491
165	295	1485
166	296	1479
167	297	1473
168	298	1468
169	299	1462
170	300	1457
171	301	1451
172	302	1444
173	303	1439
174	304	1434
175	305	1429
176	306	1424
177	307	1419
178	308	1413
179	309	1408
180	310	1403
181	310	1397
182	311	1392
183	312	1387
184	313	1382
185	314	1378
186	315	1373
187	316	1368
188	317	1363
189	318	1358
190	319	1354
191	320	1349
192	321	1345
193	322	1341
194	323	1336
195	324	1332
196	325	1327
197	326	1323
198	327	1319
199	328	1315
200	329	1311
201	330	1307
202	331	1303
203	332	1299
204	333	1294
205	334	1290
206	335	1286
207	336	1282
208	337	1278
209	338	1274
210	339	1270
211	340	1267
212	341	1263
213	343	1260
214	344	1256
215	345	1252
216	346	1248
217	347	1244
218	348	1241
219	348	1237
220	350	1233
221	351	1230
222	352	1227
223	353	1223
224	354	1220
225	355	1216
226	356	1213
227	357	1210
228	358	1206
229	359	1203
230	360	1199
231	361	1196
232	362	1193
233	363	1189
234	364	1186
235	365	1182
236	366	1179
237	367	1176
238	368	1173
239	369	1170
240	370	1167
241	371	1164
242	372	1160
243	373	1157
244	374	1154
245	375	1151
246	376	1148
247	377	1144
248	378	1141
249	379	1138
250	380	1135
251	381	1132
252	382	1129
253	383	1126
254	384	1123
255	385	1120
256	386	1117
257	387	1114
258	388	1112
259	389	1109
260	390	1106
261	391	1103
262	392	1100
263	393	1097
264	394	1094
265	395	1092
266	396	1089
267	397	1086
268	398	1083
269	399	1080
270	400	1077
271	401	1075
272	402	1072
273	403	1070
274	404	1067
275	406	1065
276	406	1062
277	407	1059
278	408	1056
279	410	1054
280	411	1051
281	412	1049
282	413	1046
283	413	1043
284	415	1041
285	416	1038
286	417	1036
287	418	1033
288	419	1030
289	419	1028
290	420	1025
291	421	1022
292	422	1020
293	423	1017
294	424	1015
295	425	1013
296	426	1010
297	427	1008
298	428	1005
299	429	1003
300	430	1000
301	431	998
302	432	995
303	433	993
304	434	990
305	435	988
306	436	986
307	437	983
308	438	981
309	439	978
310	440	976
311	441	974
312	442	971
313	443	969
314	444	966
315	445	964
316	446	962
317	447	959
318	448	957
319	449	955
320	450	952
321	451	950
322	452	948
323	453	945
324	454	943
325	455	941
326	456	939
327	457	937
328	458	934
329	459	932
330	460	930
331	461	928
332	462	926
333	463	924
334	464	921
335	465	919
336	466	917
337	467	915
338	468	912
339	469	910
340	470	908
341	471	906
342	472	904
343	473	902
344	474	900
345	475	898
346	476	896
347	477	894
348	478	892
349	479	890
350	480	888
351	481	886
352	482	884
353	483	882
354	484	880
355	485	878
356	486	876
357	487	874
358	488	872
359	489	870
360	490	868
361	491	866
362	492	864
363	493	862
364	494	860
365	495	858
366	496	856
367	497	854
368	498	852
369	499	850
370	500	848
371	501	846
372	502	844
373	503	842
374	504	840
375	505	838
376	506	836
377	507	834
378	508	832
379	509	830
380	510	829
381	511	827
382	512	825
383	513	823
384	514	821
385	515	819
386	516	817
387	517	816
388	518	814
389	519	812
390	520	810
391	521	808
392	522	806
393	523	805
394	524	803
395	525	801
396	526	799
397	527	797
398	528	796
399	529	794
400	530	792
401	531	790
402	532	788
403	533	786
404	534	785
405	535	783
406	536	781
407	537	779
408	538	778
409	539	776
410	540	774
411	541	772
412	542	770
413	543	768
414	544	767
415	545	765
416	546	763
417	547	761
418	548	759
419	549	758
420	549	756
421	550	754
422	551	752
423	552	751
424	554	749
425	554	747
426	556	746
427	557	744
428	558	742
429	559	741
430	560	739
431	561	737
432	562	735
433	563	734
434	564	732
435	565	731
436	566	729
437	567	727
438	568	726
439	569	724
440	570	722
441	571	721
442	572	719
443	573	717
444	574	716
445	575	714
446	576	712
447	577	711
448	578	709
449	578	707
450	579	706
451	580	704
452	581	702
453	582	700
454	583	699
455	584	697
456	585	695
457	586	694
458	587	692
459	588	691
460	589	689
461	590	687
462	591	686
463	592	684
464	593	682
465	594	681
466	595	679
467	596	678
468	597	676
469	598	674
470	599	673
471	600	671
472	601	670
473	602	668
474	603	667
475	604	665
476	605	664
477	606	662
478	607	660
479	608	659
480	609	657
481	610	656
482	611	654
483	612	653
484	613	651
485	615	650
486	615	648
487	616	647
488	617	645
489	619	644
490	620	642
491	621	641
492	622	639
493	623	638
494	624	636
495	625	635
496	626	633
497	627	632
498	628	630
499	629	629
500	630	627
501	631	626
502	632	624
503	633	623
504	634	621
505	635	620
506	636	618
507	637	616
508	638	615
509	639	613
510	640	612
511	640	610
512	642	609
513	643	607
514	644	606
515	644	604
516	646	603
517	647	602
518	648	600
519	649	599
520	650	597
521	651	596
522	652	594
523	653	593
524	654	592
525	655	590
526	656	589
527	657	587
528	658	586
529	659	584
530	660	583
531	661	581
532	662	580
533	663	578
534	664	577
535	665	576
536	666	574
537	667	573
538	668	571
539	669	570
540	670	568
541	671	567
542	672	565
543	673	564
544	674	563
545	675	561
546	676	560
547	677	558
548	678	557
549	679	555
550	680	554
551	681	552
552	682	551
553	683	550
554	684	548
555	685	547
556	686	545
557	687	544
558	688	542
559	689	541
560	689	539
561	690	538
562	692	537
563	693	535
564	694	534
565	695	532
566	696	531
567	697	530
568	698	528
569	699	527
570	700	525
571	701	524
572	702	523
573	703	521
574	704	520
575	705	518
576	706	517
577	707	516
578	708	514
579	709	513
580	710	512
581	711	510
582	712	509
583	713	507
584	714	506
585	714	505
586	716	503
587	716	502
588	717	500
589	718	499
590	719	498
591	720	496
592	721	495
593	722	494
594	723	492
595	724	491
596	725	489
597	726	488
598	727	487
599	728	485
600	729	484
601	730	483
602	731	481
603	732	480
604	733	479
605	734	477
606	735	476
607	736	475
608	737	473
609	738	472
610	739	471
611	740	469
612	741	468
613	742	467
614	744	465
615	744	464
616	745	463
617	747	461
618	748	460
619	749	459
620	750	457
621	751	456
622	752	455
623	753	453
624	754	452
625	755	451
626	756	449
627	757	448
628	758	447
629	759	445
630	760	444
631	761	443
632	762	441
633	763	440
634	764	439
635	765	437
636	766	436
637	767	435
638	768	434
639	769	432
640	770	431
641	771	430
642	772	428
643	773	427
644	774	426
645	775	424
646	776	423
647	777	422
648	778	420
649	779	419
650	779	418
651	780	416
652	781	415
653	782	414
654	783	412
655	784	411
656	785	410
657	786	408
658	787	407
659	788	406
660	789	405
661	790	403
662	791	402
663	792	401
664	793	399
665	794	398
666	795	397
667	796	395
668	797	394
669	798	393
670	799	391
671	800	390
672	801	389
673	802	388
674	803	386
675	804	385
676	805	384
677	806	382
678	807	381
679	808	380
680	809	379
681	810	377
682	811	376
683	811	375
684	812	373
685	813	372
686	814	371
687	815	370
688	817	368
689	817	367
690	819	366
691	819	364
692	820	363
693	821	362
694	822	361
695	823	359
696	824	358
697	825	357
698	826	355
699	827	354
700	828	353
701	829	352
702	830	350
703	831	349
704	832	348
705	833	347
706	834	345
707	835	344
708	836	343
709	837	342
710	838	340
711	839	339
712	840	338
713	841	337
714	842	335
715	843	334
716	844	333
717	845	332
718	846	330
719	847	329
720	848	328
721	849	327
722	850	325
723	851	324
724	852	323
725	853	322
726	854	320
727	855	319
728	856	318
729	857	317
730	858	315
731	859	314
732	860	313
733	861	312
734	862	310
735	863	309
736	864	308
737	864	307
738	865	305
739	866	304
740	867	303
741	868	302
742	869	300
743	870	299
744	871	298
745	872	297
746	873	295
747	874	294
748	875	293
749	876	292
750	877	290
751	878	289
752	879	288
753	880	287
754	881	286
755	882	284
756	883	283
757	884	282
758	885	281
759	886	280
760	887	278
761	888	277
762	889	276
763	890	275
764	891	273
765	892	272
766	893	271
767	894	270
768	895	269
769	896	267
770	897	266
771	898	265
772	899	264
773	900	262
774	901	261
775	902	260
776	903	259
777	904	258
778	905	256
779	906	255
780	907	254
781	908	253
782	909	252
783	910	250
784	911	249
785	912	248
786	913	247
787	914	245
788	915	244
789	916	243
790	917	242
791	918	241
792	919	239
793	920	238
794	921	237
795	921	236
796	922	235
797	923	233
798	924	232
799	925	231
800	926	230
801	927	229
802	928	227
803	929	226
804	930	225
805	931	224
806	932	223
807	933	221
808	934	220
809	935	219
810	936	218
811	937	217
812	938	215
813	939	214
814	940	213
815	941	212
816	942	211
817	943	209
818	944	208
819	945	207
820	946	206
821	947	205
822	948	203
823	949	202
824	950	201
825	951	200
826	952	199
827	953	198
828	954	196
829	955	195
830	956	194
831	957	193
832	958	192
833	959	190
834	960	189
835	961	188
836	962	187
837	963	186
838	964	185
839	965	183
840	966	182
841	967	181
842	968	180
843	969	179
844	970	177
845	971	176
846	972	175
847	973	174
848	974	173
849	975	172
850	976	170
851	977	169
852	978	168
853	979	167
854	979	166
855	980	165
856	981	163
857	982	162
858	983	161
859	984	160
860	985	159
861	986	157
862	987	156
863	988	155
864	989	154
865	990	153
866	991	152
867	992	150
868	993	149
869	994	148
870	995	147
871	996	146
872	997	145
873	998	143
874	999	142
875	1000	141
876	1001	140
877	1002	139
878	1003	138
879	1004	137
880	1005	135
881	1006	134
882	1007	133
883	1008	132
884	1009	131
885	1010	130
886	1011	128
887	1012	127
888	1013	126
889	1014	125
890	1015	124
891	1016	123
892	1017	121
893	1018	120
894	1019	119
895	1020	118
896	1021	117
897	1022	116
898	1023	114
899	1024	113
900	1025	112
901	1026	111
902	1027	110
903	1028	109
904	1029	108
905	1030	106
906	1031	105
907	1032	104
908	1033	103
909	1034	102
910	1035	101
911	1036	99
912	1037	98
913	1038	97
914	1039	96
915	1039	95
916	1040	94
917	1041	93
918	1042	91
919	1043	90
920	1044	89
921	1045	88
922	1046	87
923	1047	86
924	1048	85
925	1049	83
926	1050	82
927	1051	81
928	1052	80
929	1053	79
930	1054	78
931	1055	77
932	1056	75
933	1057	74
934	1058	73
935	1059	72
936	1060	71
937	1061	70
938	1062	69
939	1063	67
940	1064	66
941	1065	65
942	1066	64
943	1067	63
944	1068	62
945	1069	61
946	1070	59
947	1071	58
948	1072	57
949	1073	56
950	1074	55
951	1075	54
952	1076	53
953	1077	51
954	1078	50
955	1079	49
956	1080	48
957	1081	47
958	1082	46
959	1083	45
960	1084	44
961	1085	42
962	1086	41
963	1087	40
964	1088	39
965	1089	38
966	1090	37
967	1091	36
968	1092	34
969	1093	33
970	1094	32
971	1095	31
972	1096	30
973	1097	29
974	1098	28
975	1099	27
976	1100	25
977	1101	24
978	1102	23
979	1103	22
980	1104	21
981	1105	20
982	1106	19
983	1107	18
984	1108	16
985	1109	15
986	1110	14
987	1111	13
988	1111	12
989	1112	11
990	1113	10
991	1114	8
992	1115	7
993	1116	6
994	1117	5
995	1118	4
996	1119	3
997	1120	2
998	1121	1
999	1122	0
